configuration,features_count,accuracy,log_loss,brier_score,roc_auc
FULL_MODEL,71,0.5236,0.7201,0.2576,0.5227
WITHOUT_TEAM,51,0.5211,0.7492,0.2721,0.4845
WITHOUT_PLAYER,65,0.4839,0.7257,0.2638,0.4998
WITHOUT_XI,43,0.469,0.7289,0.2649,0.4676
WITHOUT_MATCHUP,63,0.4963,0.6979,0.2521,0.5373
WITHOUT_VENUE,65,0.4963,0.7062,0.2544,0.5203
WITHOUT_WEATHER,69,0.531,0.7029,0.2536,0.5518
WITHOUT_PITCH,65,0.4963,0.7062,0.2544,0.5203
WITHOUT_ERA,70,0.5186,0.6995,0.2535,0.5202
OPTIMAL_REGULARIZED_SET,69,0.531,0.7029,0.2536,0.5518
