feature_name,normalized_importance
t1_elo,0.0
t2_elo,0.0
elo_diff,0.0
elo_expected_t1,0.0
t1_recent_wins,0.0
t2_recent_wins,0.0
t1_form_exp,0.0
t2_form_exp,0.0
form_diff_exp,0.0
t1_form_3,0.0
t2_form_3,0.0
t1_form_8,0.0
t2_form_8,0.0
t1_historical_wr,0.0
t2_historical_wr,0.0
team_wr_diff,0.0
t1_pp_run_rate,0.0
t2_pp_run_rate,0.0
t1_death_run_rate,0.0
t2_death_run_rate,0.0
h2h_t1_wr,0.0
h2h_matches_count,0.0
h2h_recent_t1_wr,0.0
venue_avg_1st_innings,0.0
venue_chase_wr,0.0
t1_venue_wr,0.0
t2_venue_wr,0.0
venue_wr_diff,0.0
venue_exp_count,0.0
t1_bat_score,0.0
t2_bat_score,0.0
bat_diff,0.0
t1_bowl_score,0.0
t2_bowl_score,0.0
bowl_diff,0.0
t1_top_order_str,0.0
t2_top_order_str,0.0
top_order_diff,0.0
t1_middle_order_str,0.0
t2_middle_order_str,0.0
middle_order_diff,0.0
t1_finish_str,0.0
t2_finish_str,0.0
finish_diff,0.0
t1_pp_bowl_str,0.0
t2_pp_bowl_str,0.0
pp_bowl_diff,0.0
t1_death_bowl_str,0.0
t2_death_bowl_str,0.0
death_bowl_diff,0.0
t1_spin_bowl_str,0.0
t2_spin_bowl_str,0.0
spin_bowl_diff,0.0
t1_pace_bowl_str,0.0
t2_pace_bowl_str,0.0
pace_bowl_diff,0.0
t1_allrounder_depth,0.0
t2_allrounder_depth,0.0
t1_bat_vs_spin_adv,0.0
t2_bat_vs_spin_adv,0.0
t1_bat_vs_pace_adv,0.0
t2_bat_vs_pace_adv,0.0
style_matchup_diff,0.0
t1_xi_continuity,0.0
t2_xi_continuity,0.0
t1_rest_days,0.0
t2_rest_days,0.0
rest_diff,0.0
is_impact_player_era,0.0
is_playoff,0.0
season_progress,0.0
