feature,family,mean_importance,median_importance,std_importance,selection_frequency,mean_delta_accuracy,mean_delta_logloss,stability,decision
t1_elo,TEAM,0.01323,0.01323,0.00331,1.0,0.005,-0.004,MEDIUM,KEEP
t2_elo,TEAM,0.01145,0.01145,0.00286,1.0,0.005,-0.004,MEDIUM,KEEP
elo_diff,TEAM,0.00961,0.00961,0.0024,1.0,0.005,-0.004,MEDIUM,KEEP
elo_expected_t1,TEAM,0.01008,0.01008,0.00252,1.0,0.005,-0.004,MEDIUM,KEEP
t1_recent_wins,TEAM,0.00569,0.00569,0.00142,0.4,-0.002,0.003,LOW,REVIEW
t2_recent_wins,TEAM,0.00888,0.00888,0.00222,1.0,0.005,-0.004,MEDIUM,KEEP
t1_form_exp,TEAM,0.0087,0.0087,0.00218,1.0,0.005,-0.004,MEDIUM,KEEP
t2_form_exp,TEAM,0.01529,0.01529,0.00382,1.0,0.005,-0.004,HIGH,KEEP
form_diff_exp,TEAM,0.01341,0.01341,0.00335,1.0,0.005,-0.004,MEDIUM,KEEP
t1_form_3,TEAM,0.00638,0.00638,0.0016,0.4,-0.002,0.003,MEDIUM,REVIEW
t2_form_3,TEAM,0.00713,0.00713,0.00178,0.4,-0.002,0.003,MEDIUM,REVIEW
t1_form_8,TEAM,0.00999,0.00999,0.0025,1.0,0.005,-0.004,MEDIUM,KEEP
t2_form_8,TEAM,0.01432,0.01432,0.00358,1.0,0.005,-0.004,MEDIUM,KEEP
t1_historical_wr,TEAM,0.0141,0.0141,0.00352,1.0,0.005,-0.004,MEDIUM,KEEP
t2_historical_wr,TEAM,0.01338,0.01338,0.00334,1.0,0.005,-0.004,MEDIUM,KEEP
team_wr_diff,TEAM,0.0273,0.0273,0.00683,1.0,0.005,-0.004,HIGH,KEEP
t1_pp_run_rate,TEAM,0.01239,0.01239,0.0031,1.0,0.005,-0.004,MEDIUM,KEEP
t2_pp_run_rate,TEAM,0.01414,0.01414,0.00353,1.0,0.005,-0.004,MEDIUM,KEEP
t1_death_run_rate,TEAM,0.01851,0.01851,0.00463,1.0,0.005,-0.004,HIGH,KEEP
t2_death_run_rate,TEAM,0.01966,0.01966,0.00492,1.0,0.005,-0.004,HIGH,KEEP
t1_bat_score,PLAYER,0.01177,0.01177,0.00294,1.0,0.005,-0.004,MEDIUM,KEEP
t2_bat_score,PLAYER,0.01706,0.01706,0.00426,1.0,0.005,-0.004,HIGH,KEEP
bat_diff,PLAYER,0.01313,0.01313,0.00328,1.0,0.005,-0.004,MEDIUM,KEEP
t1_bowl_score,PLAYER,0.01908,0.01908,0.00477,1.0,0.005,-0.004,HIGH,KEEP
t2_bowl_score,PLAYER,0.01493,0.01493,0.00373,1.0,0.005,-0.004,MEDIUM,KEEP
bowl_diff,PLAYER,0.01981,0.01981,0.00495,1.0,0.005,-0.004,HIGH,KEEP
t1_top_order_str,XI,0.01687,0.01687,0.00422,1.0,0.005,-0.004,HIGH,KEEP
t2_top_order_str,XI,0.03401,0.03401,0.0085,1.0,0.005,-0.004,HIGH,KEEP
top_order_diff,XI,0.01937,0.01937,0.00484,1.0,0.005,-0.004,HIGH,KEEP
t1_middle_order_str,XI,0.01544,0.01544,0.00386,1.0,0.005,-0.004,HIGH,KEEP
t2_middle_order_str,XI,0.02873,0.02873,0.00718,1.0,0.005,-0.004,HIGH,KEEP
middle_order_diff,XI,0.01185,0.01185,0.00296,1.0,0.005,-0.004,MEDIUM,KEEP
t1_finish_str,XI,0.01387,0.01387,0.00347,1.0,0.005,-0.004,MEDIUM,KEEP
t2_finish_str,XI,0.02321,0.02321,0.0058,1.0,0.005,-0.004,HIGH,KEEP
finish_diff,XI,0.02171,0.02171,0.00543,1.0,0.005,-0.004,HIGH,KEEP
t1_pp_bowl_str,XI,0.01189,0.01189,0.00297,1.0,0.005,-0.004,MEDIUM,KEEP
t2_pp_bowl_str,XI,0.01945,0.01945,0.00486,1.0,0.005,-0.004,HIGH,KEEP
pp_bowl_diff,XI,0.01508,0.01508,0.00377,1.0,0.005,-0.004,HIGH,KEEP
t1_death_bowl_str,XI,0.02922,0.02922,0.0073,1.0,0.005,-0.004,HIGH,KEEP
t2_death_bowl_str,XI,0.01519,0.01519,0.0038,1.0,0.005,-0.004,HIGH,KEEP
death_bowl_diff,XI,0.02255,0.02255,0.00564,1.0,0.005,-0.004,HIGH,KEEP
t1_spin_bowl_str,XI,0.00558,0.00558,0.0014,0.4,-0.002,0.003,LOW,REVIEW
t2_spin_bowl_str,XI,0.00851,0.00851,0.00213,1.0,0.005,-0.004,MEDIUM,KEEP
spin_bowl_diff,XI,0.00951,0.00951,0.00238,1.0,0.005,-0.004,MEDIUM,KEEP
t1_pace_bowl_str,XI,0.01353,0.01353,0.00338,1.0,0.005,-0.004,MEDIUM,KEEP
t2_pace_bowl_str,XI,0.03004,0.03004,0.00751,1.0,0.005,-0.004,HIGH,KEEP
pace_bowl_diff,XI,0.01504,0.01504,0.00376,1.0,0.005,-0.004,HIGH,KEEP
