train_start,train_end,test_season,matches,correct,incorrect,accuracy,balanced_accuracy,roc_auc,log_loss,brier_score,elo_baseline_accuracy,stronger_baseline_accuracy,bayesian_baseline_accuracy
2007,2015,2016,60,31,29,0.5167,0.529,0.5067,0.7304,0.2661,0.5,0.5833,0.5
2007,2016,2017,58,33,25,0.569,0.5264,0.5198,0.691,0.2489,0.5172,0.5345,0.5345
2007,2017,2018,60,31,29,0.5167,0.5357,0.5954,0.7181,0.2612,0.4333,0.65,0.5333
2007,2018,2019,57,24,33,0.4211,0.4779,0.4565,0.7852,0.294,0.4561,0.4912,0.5439
2007,2019,2020,56,27,29,0.4821,0.4936,0.5192,0.7274,0.265,0.5357,0.5,0.5179
2007,2020,2021,59,37,22,0.6271,0.5553,0.5682,0.7276,0.252,0.5424,0.5424,0.5763
2007,2021,2022,74,38,36,0.5135,0.5135,0.5,0.7023,0.2556,0.5135,0.473,0.4054
2007,2022,2023,73,40,33,0.5479,0.5636,0.5432,0.6997,0.2531,0.5205,0.6164,0.5616
2007,2023,2024,71,39,32,0.5493,0.5472,0.5532,0.7552,0.2626,0.4789,0.5211,0.4507
2007,2024,2025,70,30,40,0.4286,0.4513,0.4521,0.7086,0.2575,0.4571,0.4429,0.4143
